No.,Redshift (z),Redshift(z) Unc,cz (Velocity),cz Unc,Technique,Method,Quality Flag,Bandpass,Reference,Fiducial
1,10.2,,3057883.0716,,P,UN,,,2014ApJ...786..108O,
2,10.6,,3177800.0548,,S,LS,,,2023ApJ...952...74T,
3,10.2,,3057883.0716,,P,UN,,,2015ApJ...803...34B,
4,10.2,,3057883.0716,,P,UN,,,2015ApJ...808....6H,
5,11.09,0.12,3324698.35922,35975.09496,S,UN,,,2016ApJ...819..129O,
6,11.1,,3327696.2838,,S,UN,,,2016ApJ...830...67B,
7,10.957,0.001,3284825.962306,299.792458,S,1L,,,2022ApJ...928...52F,
8,10.41,0.24,3120839.48778,71950.18992,P,UN,,,2022ApJ...928...52F,
9,10.96,,3285725.33968,,S,UN,,,2022ApJ...927..170T,
10,10.41,0.24,3120839.48778,71950.18992,P,UN,,,2022ApJ...930..104L,
11,10.6,,3177800.0548,,U,UN,,,2024AJ....167..251L,
12,10.6,,3177800.0548,,U,UN,,,2024A&A...681A..30M,
13,10.6,,3177800.0548,,U,UN,,,2023A&A...679L...9V,
14,10.2,,3057883.0716,,U,UN,,,2016MNRAS.455..659W,
15,11.1,,3327696.2838,,U,UN,,,2016MNRAS.459.1432P,
16,11.1,,3327696.2838,,U,UN,,,2016MNRAS.463.3556M,
17,11.1,,3327696.2838,,S,UN,,,2019A&A...626A..85O,
18,11.0,,3297717.038,,S,UN,,,2022MNRAS.515.3126I,
19,10.603,0.0013,3178699.432174,389.7301954,S,LS,,,2023ApJ...949L..40B,
20,10.603,,3178699.432174,,U,UN,,,2023A&A...677A..88B,
21,10.96,,3285725.33968,,P,UN,,,2023MNRAS.519.1201A,
22,10.96,,3285725.33968,,U,UN,,,2023MNRAS.519.4632D,
23,10.957,0.001,3284825.962306,299.792458,S,UN,,,2023MNRAS.520.4554D,true
24,10.6,,3177800.0548,,U,UN,,,2024MNRAS.528.4872L,
25,11.0,,3297717.038,,U,UN,,,2023ApJ...951..137K,
26,10.6,,3177800.0548,,U,UN,,,2023ApJ...951L..22A,
27,10.6,,3177800.0548,,S,LS,,,2023ApJ...953L..29L,
28,10.6,,3177800.0548,,U,UN,,,2023A&A...678A..68S,
29,10.6,,3177800.0548,,U,UN,,,2023ApJ...957L...7K,
30,10.603,0.0013,3178699.432174,389.7301954,S,LS,,,2024MNRAS.530..340F,
31,10.6,,3177800.0548,,U,UN,,,2024Natur.627...59M,
32,10.6,,3177800.0548,,U,UN,,,2023ApJ...957L..34W,
33,10.6,,3177800.0548,,U,UN,,,2024A&A...686A.141B,
34,10.6,,3177800.0548,,S,1L,,,2024A&A...687A..67M,
35,10.603,,3178699.432174,,S,1L,,,2024A&A...687A.283S,
36,10.6,,3177800.0548,,S,UN,,,2024ApJ...960...56H,
37,10.6,,3177800.0548,,U,UN,,,2024A&A...683A.156N,
38,10.603,,3178699.432174,,S,UN,,,2024A&A...684A..75C,
39,10.603,,3178699.432174,,U,UN,,,2024A&A...684A..84S,
40,10.6,,3177800.0548,,U,UN,,,2024A&A...684A.207F,
41,10.6,,3177800.0548,,U,UN,,,2024ApJ...962L...6K,
42,10.603,,3178699.432174,,S,UN,,,2024ApJ...976..142X,
43,10.6,,3177800.0548,,U,UN,,,2024ApJ...965...98C,
44,10.603,,3178699.432174,,S,UN,,,2024ApJ...964...71H,
45,11.0,,3297717.038,,P,UN,,,2024ApJ...964...71H,
